long_name,value_eur,club_name
Dirk Asare,250000.0,Mechelen
Victor Udoh,275000.0,Antwerp
Oskar Annell,210000.0,Mechelen
Jordan Semedo,220000.0,Cercle Brugge
Jannes Van Hof,230000.0,Mechelen
Ebbe De Vlaeminck,170000.0,Kortrijk
Luca Chavet,100000.0,AS Eupen
Nicolas Closset,90000.0,Sporting Charleroi
Toby Albertine Maurits Alderweireld,14500000.0,Antwerp
Jan Bert Lieve Vertonghen,7000000.0,Anderlecht
Simon Luc Hildebert Mignolet,3600000.0,Club Brugge
Hans Vanaken,20500000.0,Club Brugge
Clinton Mukoni Mata Pedro Lourenço,15500000.0,Club Brugge
Paul Ebere Onuachu,18000000.0,Genk
Noa Noëll Lang,28000000.0,Club Brugge
Mats Rits,12500000.0,Club Brugge
Jean Butez,10500000.0,Antwerp
Andreas Skov Olsen,15000000.0,Club Brugge
Roman Yaremchuk,10000000.0,Club Brugge
Hendrik Van Crombrugge,6000000.0,Anderlecht
Brandon Mechele,7000000.0,Club Brugge
Wesley Theodorus Hoedt,7000000.0,Anderlecht
Ruud Willem Vormer,3500000.0,Club Brugge
Radja Nainggolan,3500000.0,Antwerp
Anga Dedryck Boyata,5000000.0,Club Brugge
Casper Mørup Nielsen,7500000.0,Club Brugge
Tarik Tissoudali,7500000.0,Gent
Bryan Heynen,8000000.0,Genk
Julien Ariel De Sart,6500000.0,Gent
Daniel Muñoz Mejía,6000000.0,Genk
Lior Refaelov,1800000.0,Anderlecht
Vadis Odjidja-Ofoe,3500000.0,Gent
Ritchie Ria Alfons De Laet,2900000.0,Antwerp
Nacer Chadli,4500000.0,Westerlo
Michael Frey,6000000.0,Antwerp
Éder Fabián Álvarez Balanta,4800000.0,Club Brugge
Michael Ngadeu-Ngadjui,3800000.0,Gent
Teddy Teuma,5500000.0,Union Saint-Gilloise
Mike Trésor Ndayishimiye,9500000.0,Genk
Jens Petter Hauge,6500000.0,Gent
Dante Vanzeir,6000000.0,Union Saint-Gilloise
Hervé Kouakou Koffi,4600000.0,Sporting Charleroi
Amadou Diawara,5000000.0,Anderlecht
Alessio Castro-Montes,5500000.0,Gent
Björn Engels,4500000.0,Antwerp
Maxime Vincent D'Arpino,4700000.0,KV Oostende
Cyle Christopher Larin,4900000.0,Club Brugge
Anthony Christian Moris,2100000.0,Union Saint-Gilloise
Nikola Storm,4500000.0,Mechelen
Philip Aksel Frigast Zinckernagel,4500000.0,Standard Liège
Joris Kayembe Ditu,4100000.0,Sporting Charleroi
Faïz Selemani,4200000.0,Kortrijk
森岡 弘良太,3500000.0,Sporting Charleroi
Halil Akbunar,4200000.0,Westerlo
Patrik Hrošovský,4000000.0,Genk
Yari Verschaeren,6500000.0,Anderlecht
Jordan Torunarigha,4200000.0,Gent
Joseph Stanley Okumu,4000000.0,Gent
Selim Amallah,4000000.0,Standard Liège
Didier Lamkel Zé,4100000.0,Kortrijk
Mario González Gutiérrez,4000000.0,OH Leuven
Michael Amir Murillo Bermudez,3500000.0,Anderlecht
Davy Roef,2400000.0,Gent
Birger Danny Verstraete,2900000.0,Mechelen
Eduard Sobol,3200000.0,Club Brugge
Marco Ilaimaharitra,3200000.0,Sporting Charleroi
Smail Prevljak,3600000.0,AS Eupen
Ali Gholizadeh,3600000.0,Sporting Charleroi
Loïc Andre Terry Lapoussin,3600000.0,Union Saint-Gilloise
Dino Hotić,3600000.0,Cercle Brugge
Sven Kums,1400000.0,Gent
Rob Schoofs,3000000.0,Mechelen
Stef Peeters,2900000.0,AS Eupen
Christian Albert Elliot Burgess,2500000.0,Union Saint-Gilloise
Vincent Janssen,3100000.0,Antwerp
Michel Ange Balikwisha,5500000.0,Antwerp
Ferran Jutglà Blanch,5000000.0,Club Brugge
Carlos Eccehomo Cuesta Figueroa,4400000.0,Genk
Gerardo Daniel Arteaga Zamora,4500000.0,Genk
Kamal Sowah,4800000.0,Club Brugge
Adem Zorgane,4700000.0,Sporting Charleroi
Hannes Delcroix,3400000.0,Anderlecht
Francis Apelete Amuzu,3800000.0,Anderlecht
Tajon Buchanan,3700000.0,Club Brugge
Andreas Schjølberg Hanche-Olsen,2900000.0,Gent
Hugo Cuypers,3300000.0,Gent
Siebe Schrijvers,3100000.0,OH Leuven
Paul Nardi,2000000.0,Gent
Andrew Hjulsager,2700000.0,Gent
Federico Ricca Rostagnol,2500000.0,OH Leuven
Sinan Bolat,750000.0,Westerlo
Denis Odoi,850000.0,Club Brugge
Mubarak Wakaso,1900000.0,AS Eupen
香川 真司,1500000.0,Sint-Truiden
Benito Raman,2500000.0,Anderlecht
Noë Dussenne,1900000.0,Standard Liège
Viktor Gorridsen Fischer,2400000.0,Antwerp
Laurent Depoitre,1500000.0,Gent
Mbwana Ally Samatta,2300000.0,Genk
Abdallah Kerim Mrabti,2400000.0,Mechelen
Konstantinos Laifis,2000000.0,Standard Liège
Mujaid Sadick Aliu,3900000.0,Genk
Rasmus Carstensen,4000000.0,Genk
Radosław Majecki,3200000.0,Cercle Brugge
Steven Alzate,3700000.0,Standard Liège
Calvin Stengs,3800000.0,Antwerp
Mark Alexander McKenzie,3500000.0,Genk
Jurgen Ekkelenkamp,3800000.0,Antwerp
Siebe Van der Heyden,2600000.0,Union Saint-Gilloise
Arnaud Bodart,2300000.0,Standard Liège
Joseph Martin Paintsil,2800000.0,Genk
Majeed Ashimeru,2800000.0,Anderlecht
Thierry Ambrose,2600000.0,KV Oostende
João Pedro da Costa Gamboa,2400000.0,OH Leuven
Jean Thierry Lazare Amani,2700000.0,Union Saint-Gilloise
Elisha Owusu,2400000.0,Gent
